TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Toronto Raptors,2002,0,0.293,90.9,34.7,28.7,-6.3,44.7,49.1,14,14,25,28,10,18,18
Cleveland Cavaliers,2002,0,0.207,91.4,34.8,31.0,-9.9,43.1,51.3,8,25,14,17,2,5,6
Denver Nuggets,2002,0,0.207,84.2,32.8,28.8,-8.9,42.5,51.1,19,28,29,29,3,1,1
Indiana Pacers,2003,0,0.744,91.4,33.6,29.9,6.3,53.9,51.1,25,9,11,11,17,2,21
Minnesota Timberwolves,2003,0,0.707,94.5,37.0,32.3,5.7,55.4,50.7,14,25,25,5,25,29,16
San Antonio Spurs,2003,0,0.695,91.5,34.7,32.5,7.9,56.6,51.6,20,17,20,29,11,24,24
Los Angeles Lakers,2003,0,0.683,98.2,36.9,30.9,4.1,53.8,50.6,7,22,5,28,13,28,17
Sacramento Kings,2003,0,0.671,102.8,37.8,30.4,5.4,54.4,48.8,6,2,6,2,24,16,28
Detroit Pistons,2003,1,0.659,90.1,33.5,30.4,6.5,55.8,51.2,26,23,9,13,12,17,25
Dallas Mavericks,2003,0,0.634,105.2,40.5,31.0,4.5,52.7,50.7,1,6,15,1,1,21,27
Memphis Grizzlies,2003,0,0.61,96.7,36.1,29.0,2.6,52.2,48.9,9,10,10,24,8,4,3
New Jersey Nets,2003,0,0.573,90.3,34.3,30.2,2.6,53.3,50.1,23,20,21,14,26,25,18
Houston Rockets,2003,0,0.549,89.8,33.4,32.3,1.9,51.3,51.6,28,5,24,8,28,26,12
Denver Nuggets,2003,0,0.524,97.2,36.5,29.1,1.0,50.5,49.8,2,26,3,9,7,3,10
Miami Heat,2003,0,0.512,90.3,33.3,30.0,0.3,49.6,50.4,21,7,18,12,20,8,8
Utah Jazz,2003,0,0.512,88.7,32.8,27.7,-1.3,49.3,52.9,29,28,4,20,5,1,1
Milwaukee Bucks,2003,0,0.5,98.0,36.2,30.5,1.1,51.0,49.9,10,19,2,7,18,18,26
New Orleans Hornets,2003,0,0.5,91.8,33.8,29.5,0.1,49.1,50.2,11,4,19,17,6,13,19
Portland Trail Blazers,2003,0,0.5,90.7,35.3,29.0,-1.5,48.8,50.7,19,21,28,23,10,20,29
New York Knicks,2003,0,0.476,92.0,35.1,31.0,-1.6,48.8,50.8,17,18,23,3,19,22,4
Golden State Warriors,2003,0,0.451,93.3,35.1,30.9,-1.1,49.1,50.3,18,12,17,25,14,14,23
Seattle SuperSonics,2003,0,0.451,97.1,35.8,28.3,-0.8,49.1,47.9,12,1,26,10,23,23,11
Boston Celtics,2003,0,0.439,95.3,34.7,29.8,-1.5,49.0,47.3,22,3,8,18,27,19,6
Cleveland Cavaliers,2003,0,0.427,92.9,35.6,31.9,-2.6,49.1,51.4,4,29,13,15,3,10,13
Philadelphia 76ers,2003,0,0.402,88.0,32.7,29.4,-2.6,48.4,49.8,27,24,14,16,21,5,22
Toronto Raptors,2003,0,0.402,85.4,32.4,29.5,-3.4,47.6,47.1,24,8,29,19,29,27,14
Phoenix Suns,2003,0,0.354,94.2,36.1,29.3,-3.8,46.6,47.9,8,15,22,21,22,11,5
Atlanta Hawks,2003,0,0.341,92.8,34.5,30.6,-4.8,46.6,50.0,16,16,12,6,16,15,7
Los Angeles Clippers,2003,0,0.341,94.8,34.4,29.5,-4.7,46.4,51.7,13,27,1,4,2,12,9
Washington Wizards,2003,0,0.305,91.8,33.6,29.2,-5.7,44.1,49.6,15,11,7,27,4,6,20
Chicago Bulls,2003,0,0.28,89.7,34.1,30.7,-6.5,44.6,49.1,5,13,27,26,9,9,2
Orlando Magic,2003,0,0.256,94.0,35.4,28.7,-7.4,43.4,48.1,3,14,16,22,15,7,15
Phoenix Suns,2004,0,0.756,110.4,40.9,32.3,7.0,54.6,49.0,2,1,19,22,18,27,30
Miami Heat,2004,0,0.72,101.5,37.8,32.2,6.7,55.6,50.8,26,14,13,30,25,30,20
San Antonio Spurs,2004,1,0.72,96.2,35.6,30.4,8.3,56.5,51.0,21,11,22,26,15,8,26
Dallas Mavericks,2004,0,0.707,102.5,37.3,30.9,5.9,53.7,50.0,7,15,1,4,14,14,18
Detroit Pistons,2004,0,0.659,93.3,34.8,30.6,4.3,54.2,51.8,22,22,16,23,6,22,29
Seattle SuperSonics,2004,0,0.634,98.9,35.1,28.2,2.3,50.4,51.7,20,2,11,3,8,18,6
Houston Rockets,2004,0,0.622,95.1,34.7,31.7,4.3,52.7,51.2,23,6,21,7,27,28,21
Sacramento Kings,2004,0,0.61,103.7,39.1,29.9,2.3,52.2,49.1,3,9,18,6,10,23,28
Denver Nuggets,2004,0,0.598,99.5,37.0,30.2,2.2,53.1,49.7,14,24,6,15,19,4,13
Chicago Bulls,2004,0,0.573,94.5,34.7,31.6,1.4,49.8,50.6,16,12,23,21,13,7,2
Boston Celtics,2004,0,0.549,101.3,37.1,29.7,0.8,50.5,49.4,19,17,3,14,23,15,4
Memphis Grizzlies,2004,0,0.549,93.4,34.2,28.1,2.7,51.5,48.7,29,8,24,19,26,2,9
Washington Wizards,2004,0,0.549,100.5,36.2,29.0,-0.4,48.5,49.7,5,10,2,24,1,12,22
Indiana Pacers,2004,0,0.537,93.0,32.5,29.5,1.0,50.4,49.4,30,7,7,2,28,16,11
Minnesota Timberwolves,2004,0,0.537,96.8,37.1,31.5,1.6,51.8,50.8,12,21,26,1,22,29,25
Philadelphia 76ers,2004,0,0.524,99.1,35.9,30.9,-0.7,49.3,49.1,6,13,8,5,24,20,14
Cleveland Cavaliers,2004,0,0.512,96.5,36.5,28.7,0.6,51.0,51.0,8,27,14,20,2,9,16
New Jersey Nets,2004,0,0.512,91.4,33.6,29.1,-1.7,49.0,49.5,24,18,20,16,29,17,5
Los Angeles Clippers,2004,0,0.451,95.7,35.7,29.9,-0.8,51.8,51.8,27,30,4,8,16,19,19
Orlando Magic,2004,0,0.439,99.5,37.0,31.0,-2.3,48.9,50.7,9,25,5,17,9,26,8
Golden State Warriors,2004,0,0.415,98.7,36.9,29.7,-2.2,47.3,47.7,1,5,28,27,5,10,17
Los Angeles Lakers,2004,0,0.415,98.7,35.3,30.6,-3.2,46.8,50.3,13,3,12,9,11,11,23
New York Knicks,2004,0,0.402,97.3,36.3,29.2,-2.7,47.5,49.8,15,16,17,12,20,21,7
Toronto Raptors,2004,0,0.402,99.7,36.0,29.8,-1.8,47.9,47.3,11,4,15,10,30,25,15
Milwaukee Bucks,2004,0,0.366,97.2,36.1,29.3,-3.0,47.8,50.3,17,23,9,11,17,24,24
Portland Trail Blazers,2004,0,0.329,92.9,35.3,29.3,-4.3,47.5,49.6,25,19,29,25,21,13,27
Utah Jazz,2004,0,0.317,93.0,34.5,27.4,-4.4,47.5,51.8,28,29,10,18,7,3,1
Charlotte Bobcats,2004,0,0.22,94.3,36.1,28.5,-6.2,46.0,49.2,4,26,25,29,4,6,10
New Orleans Hornets,2004,0,0.22,88.4,33.1,27.8,-7.7,43.7,49.4,18,20,30,13,12,5,12
Atlanta Hawks,2004,0,0.159,92.7,35.9,28.5,-10.2,42.2,50.2,10,28,27,28,3,1,3
Detroit Pistons,2005,0,0.78,96.8,36.4,28.6,7.6,55.7,49.7,11,6,27,23,9,29,30
San Antonio Spurs,2005,0,0.768,95.6,36.5,31.1,7.5,55.4,50.5,20,10,29,28,22,25,26
Dallas Mavericks,2005,0,0.732,99.1,36.0,29.6,6.7,55.1,52.2,18,21,3,6,3,11,20
Phoenix Suns,2005,0,0.659,108.4,41.8,32.3,5.4,54.7,48.0,1,1,30,1,30,30,28
Miami Heat,2005,1,0.634,99.9,37.1,32.6,4.1,53.8,51.9,19,12,17,29,20,28,15
Cleveland Cavaliers,2005,0,0.61,97.6,35.5,30.6,2.1,51.0,51.4,17,13,9,21,11,21,25
Memphis Grizzlies,2005,0,0.598,92.2,33.5,29.0,4.1,51.6,49.6,30,5,24,27,25,1,24
New Jersey Nets,2005,0,0.598,93.8,33.9,31.0,1.5,51.3,50.1,23,16,12,9,27,27,11
Los Angeles Clippers,2005,0,0.573,97.2,36.5,33.0,1.6,52.3,51.3,15,30,8,2,26,23,16
Los Angeles Lakers,2005,0,0.549,99.4,36.5,30.3,2.6,51.8,50.7,9,8,18,15,10,24,13
Denver Nuggets,2005,0,0.537,100.3,37.5,30.3,0.3,51.2,49.4,6,24,6,16,14,4,17
Sacramento Kings,2005,0,0.537,98.9,36.0,30.2,1.8,51.5,49.5,13,15,7,5,23,12,29
Washington Wizards,2005,0,0.512,101.7,36.3,28.6,1.9,50.3,49.9,7,14,1,12,4,26,19
Chicago Bulls,2005,0,0.5,97.8,36.6,31.7,0.7,50.1,50.3,4,7,25,17,15,7,3
Indiana Pacers,2005,0,0.5,93.9,34.0,31.2,2.0,51.4,50.6,24,9,19,19,16,13,22
Utah Jazz,2005,0,0.5,92.4,33.5,29.0,-2.7,49.7,52.6,27,26,4,25,1,2,4
Milwaukee Bucks,2005,0,0.488,97.8,36.3,29.9,-1.0,48.6,50.7,10,11,22,18,12,9,12
New Orleans/Oklahoma City Hornets,2005,0,0.463,92.8,34.5,29.0,-2.8,48.4,49.7,16,28,15,10,13,5,23
Philadelphia 76ers,2005,0,0.463,99.4,36.6,29.6,-1.8,49.2,48.1,12,22,5,7,19,17,27
Orlando Magic,2005,0,0.439,94.9,35.5,29.3,-1.3,49.5,51.6,29,29,10,20,17,18,10
Seattle SuperSonics,2005,0,0.427,102.6,37.5,27.2,-3.3,46.7,49.5,5,3,16,4,6,14,9
Golden State Warriors,2005,0,0.415,98.5,35.8,30.3,-1.4,47.5,48.5,3,2,21,26,8,10,8
Houston Rockets,2005,0,0.415,90.1,33.0,31.3,-1.7,49.0,50.1,26,17,23,8,24,20,18
Boston Celtics,2005,0,0.402,98.0,36.0,29.7,-1.5,48.5,49.7,22,18,11,13,28,15,5
Minnesota Timberwolves,2005,0,0.402,91.7,35.2,29.5,-2.0,50.3,49.0,21,27,26,11,29,19,14
Toronto Raptors,2005,0,0.329,101.1,36.7,27.9,-3.2,45.9,48.4,8,4,13,3,21,22,6
Atlanta Hawks,2005,0,0.317,97.2,35.9,27.2,-5.3,46.2,49.6,14,19,14,14,2,8,2
Charlotte Bobcats,2005,0,0.317,96.9,36.1,27.7,-4.4,46.3,47.9,2,20,20,22,7,3,7
New York Knicks,2005,0,0.28,95.6,34.4,28.8,-6.6,44.4,51.8,28,25,2,24,5,6,1
Portland Trail Blazers,2005,0,0.256,88.8,34.0,26.9,-10.7,42.4,48.0,25,23,28,30,18,16,21
Dallas Mavericks,2006,0,0.817,100.0,36.7,30.7,7.6,55.2,52.2,20,8,12,2,15,27,14
Phoenix Suns,2006,0,0.744,110.2,41.3,31.5,7.4,56.1,48.4,2,1,26,1,30,29,28
San Antonio Spurs,2006,1,0.707,98.5,36.6,31.4,9.2,56.9,50.5,27,6,24,17,28,23,30
Detroit Pistons,2006,0,0.646,96.0,35.9,29.0,4.8,53.3,49.3,17,22,18,7,10,30,25
Houston Rockets,2006,0,0.634,97.0,35.4,32.6,4.9,52.9,50.8,15,2,27,16,22,20,24
Utah Jazz,2006,0,0.622,101.5,37.4,30.0,3.0,53.1,53.4,18,26,4,20,2,3,1
Cleveland Cavaliers,2006,0,0.61,96.8,36.3,30.8,3.8,52.0,51.8,9,15,25,29,1,21,20
Chicago Bulls,2006,0,0.598,98.8,37.1,31.7,5.2,53.9,51.4,7,16,20,22,8,4,8
Toronto Raptors,2006,0,0.573,99.5,37.0,30.2,1.2,51.4,48.1,13,9,17,5,29,24,26
Denver Nuggets,2006,0,0.549,105.4,38.6,31.2,1.7,51.4,50.2,4,17,5,19,5,7,21
Miami Heat,2006,0,0.537,94.6,35.6,30.8,-1.2,50.8,49.3,29,11,30,30,24,28,23
Golden State Warriors,2006,0,0.512,106.5,39.8,29.9,-0.3,48.9,47.2,1,3,21,26,11,12,5
Los Angeles Lakers,2006,0,0.512,103.3,37.8,30.4,-0.2,49.9,49.6,8,4,11,18,20,9,11
New Jersey Nets,2006,0,0.5,97.6,35.5,30.8,-0.9,49.9,49.6,24,5,15,25,25,18,12
Washington Wizards,2006,0,0.5,104.3,37.4,29.0,-0.4,48.5,48.9,3,7,2,11,6,15,16
Los Angeles Clippers,2006,0,0.488,95.6,35.1,30.3,-0.4,50.9,51.3,28,29,6,6,21,25,13
Orlando Magic,2006,0,0.488,94.8,35.1,29.5,0.8,50.2,51.9,30,27,8,28,16,16,10
New Orleans/Oklahoma City Hornets,2006,0,0.476,95.5,36.2,30.6,-1.6,48.5,51.4,6,23,28,21,4,14,29
Indiana Pacers,2006,0,0.427,95.6,35.0,29.8,-2.5,48.5,50.3,12,18,14,15,7,10,9
Philadelphia 76ers,2006,0,0.427,94.9,35.8,28.7,-3.2,48.9,49.3,22,30,13,9,19,26,27
Charlotte Bobcats,2006,0,0.402,96.9,36.1,28.6,-3.9,47.1,48.5,10,21,16,23,17,5,2
New York Knicks,2006,0,0.402,97.5,35.4,30.7,-3.1,47.1,52.7,26,19,7,27,3,11,6
Sacramento Kings,2006,0,0.402,101.3,35.9,29.2,-1.6,48.5,47.7,14,10,1,12,27,13,19
Minnesota Timberwolves,2006,0,0.39,96.1,36.5,30.2,-4.0,48.7,50.0,16,25,23,3,26,19,22
Portland Trail Blazers,2006,0,0.39,94.1,35.0,28.0,-4.8,45.9,50.7,23,24,19,8,13,17,7
Seattle SuperSonics,2006,0,0.378,99.1,37.2,28.3,-3.0,47.4,49.2,11,12,22,4,14,22,18
Atlanta Hawks,2006,0,0.366,93.7,34.5,28.2,-5.1,46.6,49.9,25,28,9,13,9,8,3
Milwaukee Bucks,2006,0,0.341,99.7,38.1,27.7,-4.3,45.6,47.9,5,13,29,24,12,6,17
Boston Celtics,2006,0,0.293,95.8,34.9,29.2,-3.5,45.9,50.2,19,20,10,10,18,1,4
Memphis Grizzlies,2006,0,0.268,101.6,36.6,29.0,-5.2,46.2,48.6,21,14,3,14,23,2,15
Boston Celtics,2007,1,0.805,100.5,36.4,31.9,10.8,58.1,51.8,30,8,8,8,23,15,5
Detroit Pistons,2007,0,0.72,97.5,36.6,29.5,8.3,55.2,51.3,20,22,18,13,10,28,16
Los Angeles Lakers,2007,0,0.695,108.6,39.6,33.2,7.3,55.1,50.7,6,5,3,10,17,19,17
New Orleans Hornets,2007,0,0.683,100.9,38.6,30.4,5.6,52.6,50.6,8,6,29,11,14,27,29
San Antonio Spurs,2007,0,0.683,95.4,35.8,31.9,5.3,53.3,50.3,28,9,26,15,27,20,30
Houston Rockets,2007,0,0.671,96.7,36.6,32.4,4.8,53.5,51.9,14,10,27,25,9,18,25
Phoenix Suns,2007,0,0.671,110.1,41.4,32.7,5.0,55.6,48.1,9,4,13,4,30,29,23
Utah Jazz,2007,0,0.659,106.2,40.0,29.4,7.2,55.6,52.1,18,26,4,16,13,7,1
Orlando Magic,2007,0,0.634,104.5,37.3,32.6,5.6,52.9,50.1,26,1,9,27,28,24,18
Dallas Mavericks,2007,0,0.622,100.4,36.9,32.2,4.8,53.6,51.4,24,19,7,1,21,21,8
Denver Nuggets,2007,0,0.61,110.7,40.3,32.9,3.4,52.9,49.4,2,13,1,19,15,14,14
Golden State Warriors,2007,0,0.585,111.0,41.5,30.4,1.9,49.6,48.1,1,2,14,18,5,11,4
Cleveland Cavaliers,2007,0,0.549,96.4,35.8,31.3,-0.6,49.0,51.8,15,14,21,28,1,16,15
Washington Wizards,2007,0,0.524,98.8,36.4,29.3,-0.3,48.8,50.3,16,11,12,5,7,22,26
Portland Trail Blazers,2007,0,0.5,95.4,35.8,29.7,-0.8,49.5,49.5,23,15,24,14,18,30,22
Toronto Raptors,2007,0,0.5,100.2,38.4,30.4,3.3,51.9,48.9,13,12,28,2,26,26,27
Philadelphia 76ers,2007,0,0.488,96.6,37.3,28.9,0.5,50.0,51.5,17,30,19,30,2,8,24
Sacramento Kings,2007,0,0.463,102.5,37.1,30.0,-2.4,48.3,49.3,19,17,2,3,24,4,7
Atlanta Hawks,2007,0,0.451,98.2,36.3,29.9,-1.8,49.8,50.6,21,27,5,7,8,9,20
Indiana Pacers,2007,0,0.439,104.0,37.8,32.1,-1.2,48.5,48.7,4,3,11,12,19,10,2
New Jersey Nets,2007,0,0.415,95.8,34.8,30.7,-5.4,47.5,50.2,25,18,10,20,16,23,6
Chicago Bulls,2007,0,0.402,97.3,36.4,30.2,-3.1,48.0,50.0,5,23,15,17,4,2,9
Charlotte Bobcats,2007,0,0.39,97.1,36.1,29.8,-4.5,46.9,48.3,22,16,20,29,20,1,10
Milwaukee Bucks,2007,0,0.317,97.0,36.9,28.8,-7.2,45.2,50.6,11,24,22,22,3,12,12
Los Angeles Clippers,2007,0,0.28,93.8,34.4,30.4,-7.5,46.1,48.4,27,28,6,6,25,17,13
New York Knicks,2007,0,0.28,96.9,36.2,30.0,-6.8,44.0,50.2,10,20,16,23,6,6,11
Memphis Grizzlies,2007,0,0.268,100.7,37.3,31.3,-6.3,45.1,48.9,12,7,17,26,22,13,28
Minnesota Timberwolves,2007,0,0.268,95.6,37.5,29.6,-7.3,43.5,50.1,7,25,30,21,11,3,3
Seattle SuperSonics,2007,0,0.244,97.5,38.1,32.8,-8.6,45.0,50.2,3,29,23,9,12,5,19
Miami Heat,2007,0,0.183,91.4,34.2,28.6,-9.4,44.5,47.0,29,21,25,24,29,25,21
Cleveland Cavaliers,2008,0,0.805,100.3,36.9,31.4,9.6,55.9,51.2,24,3,18,21,18,25,20
Los Angeles Lakers,2008,1,0.793,106.9,40.3,31.5,7.9,54.7,51.4,4,14,10,14,3,16,14
Boston Celtics,2008,0,0.756,100.9,37.5,31.5,7.9,56.2,52.4,28,18,12,17,20,18,3
Orlando Magic,2008,0,0.72,101.0,35.7,33.3,7.1,54.5,50.2,26,1,11,30,27,29,21
Denver Nuggets,2008,0,0.659,104.3,37.3,30.6,3.4,52.9,50.3,22,15,1,20,15,3,5
Portland Trail Blazers,2008,0,0.659,99.4,36.8,28.8,6.0,53.1,52.8,23,8,20,18,1,28,18
San Antonio Spurs,2008,0,0.659,97.0,37.1,32.2,4.2,52.3,50.2,18,6,30,19,30,22,29
Houston Rockets,2008,0,0.646,98.4,36.1,32.5,4.2,53.0,51.7,21,7,15,5,22,7,30
Dallas Mavericks,2008,0,0.61,101.7,38.1,31.6,2.0,52.2,50.4,6,12,21,2,13,26,27
New Orleans Hornets,2008,0,0.598,95.8,35.5,29.9,1.8,51.5,49.6,27,13,25,3,28,30,22
Utah Jazz,2008,0,0.585,103.6,38.3,29.5,2.7,53.5,50.5,16,26,3,13,11,10,8
Atlanta Hawks,2008,0,0.573,98.1,36.0,29.4,1.7,50.7,49.0,25,9,16,28,21,23,26
Phoenix Suns,2008,0,0.561,109.4,41.1,30.7,2.0,52.5,50.3,11,16,5,26,16,21,16
Miami Heat,2008,0,0.524,98.3,37.0,29.4,0.3,50.5,48.4,15,10,27,23,26,27,15
Chicago Bulls,2008,0,0.5,102.2,38.1,30.3,-0.3,49.9,49.8,5,22,7,7,7,4,13
Philadelphia 76ers,2008,0,0.5,97.4,36.5,28.5,0.2,50.3,50.8,19,29,6,25,2,15,24
Detroit Pistons,2008,0,0.476,94.2,36.4,29.9,-0.6,49.6,50.8,17,28,28,24,9,24,12
Indiana Pacers,2008,0,0.439,105.1,39.3,32.5,-1.0,48.9,49.8,2,4,19,4,12,5,4
Charlotte Bobcats,2008,0,0.427,93.6,35.0,28.9,-1.3,49.5,50.4,30,23,26,27,19,1,11
Milwaukee Bucks,2008,0,0.415,99.3,36.7,28.9,-1.1,48.5,49.6,8,21,9,11,5,20,1
New Jersey Nets,2008,0,0.415,98.1,35.7,29.5,-2.7,47.4,49.3,20,5,14,12,23,17,7
Toronto Raptors,2008,0,0.402,99.0,37.2,30.6,-3.0,49.2,49.3,13,24,17,1,29,19,28
New York Knicks,2008,0,0.39,105.2,38.5,31.0,-2.5,46.7,48.0,1,2,23,10,14,8,19
Golden State Warriors,2008,0,0.354,108.6,39.4,30.4,-3.7,47.8,47.3,3,17,2,8,10,12,6
Memphis Grizzlies,2008,0,0.293,93.9,34.9,28.5,-6.0,45.7,49.5,29,25,13,22,24,6,10
Minnesota Timberwolves,2008,0,0.293,97.8,36.4,29.8,-5.0,45.3,51.1,7,19,22,15,6,2,9
Oklahoma City Thunder,2008,0,0.28,97.0,36.6,30.5,-6.2,46.4,50.8,9,30,8,9,4,13,23
Los Angeles Clippers,2008,0,0.232,95.1,36.0,29.0,-9.2,44.1,47.9,10,20,29,29,17,14,25
Washington Wizards,2008,0,0.232,96.1,36.5,28.4,-8.1,44.8,49.5,14,27,24,16,8,9,17
Sacramento Kings,2008,0,0.207,100.6,36.5,28.9,-9.0,44.0,47.7,12,11,4,6,25,11,2
Cleveland Cavaliers,2009,0,0.744,102.1,37.8,32.8,6.8,55.2,51.9,28,8,12,30,27,28,27
Orlando Magic,2009,0,0.72,102.8,36.6,33.4,7.9,55.1,51.2,27,1,10,29,25,30,23
Los Angeles Lakers,2009,1,0.695,101.7,38.3,32.5,4.9,52.9,51.2,7,13,17,12,3,21,28
Dallas Mavericks,2009,0,0.671,102.0,38.3,31.5,2.8,53.4,49.3,14,10,16,1,23,26,30
Phoenix Suns,2009,0,0.659,110.2,40.7,31.9,4.8,53.6,50.3,13,3,5,11,14,18,12
Atlanta Hawks,2009,0,0.646,101.7,38.8,29.9,4.9,52.3,50.2,12,14,20,15,5,22,24
Denver Nuggets,2009,0,0.646,106.5,38.1,30.5,4.4,52.4,49.8,17,12,1,9,17,7,3
Utah Jazz,2009,0,0.646,104.2,39.4,31.6,5.7,55.0,52.0,23,23,3,23,20,5,2
Boston Celtics,2009,0,0.61,99.2,37.1,29.9,3.7,54.0,49.3,30,16,14,21,30,16,9
Oklahoma City Thunder,2009,0,0.61,101.5,37.4,31.8,3.5,53.2,51.1,20,25,2,2,9,17,11
Portland Trail Blazers,2009,0,0.61,98.1,36.3,29.1,3.5,52.5,51.0,26,17,9,3,15,27,13
San Antonio Spurs,2009,0,0.61,101.4,38.4,32.0,5.4,53.2,51.5,18,11,19,24,18,9,18
Miami Heat,2009,0,0.573,96.5,36.4,31.1,2.4,52.2,50.0,25,18,21,19,19,25,14
Milwaukee Bucks,2009,0,0.561,97.7,37.2,31.2,2.1,49.5,50.1,2,5,30,17,6,10,6
Charlotte Bobcats,2009,0,0.537,95.3,34.9,30.4,1.9,51.8,51.0,29,22,4,20,21,2,26
Houston Rockets,2009,0,0.512,102.4,37.7,30.1,0.0,48.9,49.8,3,6,15,10,7,1,15
Chicago Bulls,2009,0,0.5,97.5,37.6,33.1,-1.6,50.0,50.9,10,29,18,18,12,8,20
Memphis Grizzlies,2009,0,0.488,102.5,39.3,30.4,-1.5,48.6,52.3,8,30,7,25,1,3,19
Toronto Raptors,2009,0,0.488,104.1,39.0,30.6,-2.0,48.9,49.5,19,15,8,13,26,23,7
