TEAM,YEAR,IS_CHAMP,WIN%,DREB,NETRTG,OREB%,PIE,REB%,OFFRTG_RANK,TS%_RANK,FGA_RANK,3PM_RANK,OREB_RANK
Cleveland Cavaliers,2005,0,0.61,30.6,2.1,31.3,51.0,51.4,9,12,17,13,11
Memphis Grizzlies,2005,0,0.598,29.0,4.1,29.8,51.6,49.6,16,15,30,5,25
New Jersey Nets,2005,0,0.598,31.0,1.5,27.4,51.3,50.1,24,22,23,16,27
Los Angeles Clippers,2005,0,0.573,33.0,1.6,28.6,52.3,51.3,19,10,15,30,26
Los Angeles Lakers,2005,0,0.549,30.3,2.6,31.6,51.8,50.7,8,11,9,8,10
Denver Nuggets,2005,0,0.537,30.3,0.3,30.0,51.2,49.4,17,17,6,24,14
Sacramento Kings,2005,0,0.537,30.2,1.8,28.9,51.5,49.5,11,8,13,15,23
Washington Wizards,2005,0,0.512,28.6,1.9,32.9,50.3,49.9,6,13,7,14,4
Chicago Bulls,2005,0,0.5,31.7,0.7,30.3,50.1,50.3,21,23,4,7,15
Indiana Pacers,2005,0,0.5,31.2,2.0,30.4,51.4,50.6,22,21,24,9,16
Utah Jazz,2005,0,0.5,29.0,-2.7,35.6,49.7,52.6,25,26,27,26,1
Milwaukee Bucks,2005,0,0.488,29.9,-1.0,30.9,48.6,50.7,13,18,10,11,12
New Orleans/Oklahoma City Hornets,2005,0,0.463,29.0,-2.8,29.7,48.4,49.7,26,28,16,28,13
Philadelphia 76ers,2005,0,0.463,29.6,-1.8,28.5,49.2,48.1,15,14,12,22,19
Orlando Magic,2005,0,0.439,29.3,-1.3,33.0,49.5,51.6,12,9,29,29,17
Seattle SuperSonics,2005,0,0.427,27.2,-3.3,34.0,46.7,49.5,3,3,5,3,6
Golden State Warriors,2005,0,0.415,30.3,-1.4,29.6,47.5,48.5,20,25,3,2,8
Houston Rockets,2005,0,0.415,31.3,-1.7,29.1,49.0,50.1,29,27,26,17,24
Boston Celtics,2005,0,0.402,29.7,-1.5,28.9,48.5,49.7,18,4,22,18,28
Minnesota Timberwolves,2005,0,0.402,29.5,-2.0,29.6,50.3,49.0,27,24,21,27,29
Toronto Raptors,2005,0,0.329,27.9,-3.2,28.6,45.9,48.4,5,6,8,4,21
Atlanta Hawks,2005,0,0.317,27.2,-5.3,33.4,46.2,49.6,14,19,14,19,2
Charlotte Bobcats,2005,0,0.317,27.7,-4.4,30.5,46.3,47.9,28,30,2,20,7
New York Knicks,2005,0,0.28,28.8,-6.6,34.2,44.4,51.8,23,20,28,25,5
Portland Trail Blazers,2005,0,0.256,26.9,-10.7,30.8,42.4,48.0,30,29,25,23,18
Dallas Mavericks,2006,0,0.817,30.7,7.6,32.0,55.2,52.2,2,3,20,8,15
Phoenix Suns,2006,0,0.744,31.5,7.4,26.2,56.1,48.4,1,1,2,1,30
San Antonio Spurs,2006,1,0.707,31.4,9.2,27.9,56.9,50.5,4,2,27,6,28
Detroit Pistons,2006,0,0.646,29.0,4.8,30.7,53.3,49.3,6,21,17,22,10
Houston Rockets,2006,0,0.634,32.6,4.9,28.7,52.9,50.8,15,17,15,2,22
Utah Jazz,2006,0,0.622,30.0,3.0,35.2,53.1,53.4,5,6,18,26,2
Cleveland Cavaliers,2006,0,0.61,30.8,3.8,32.7,52.0,51.8,16,29,9,15,1
Chicago Bulls,2006,0,0.598,31.7,5.2,31.9,53.9,51.4,20,22,7,16,8
Toronto Raptors,2006,0,0.573,30.2,1.2,25.0,51.4,48.1,12,7,13,9,29
Denver Nuggets,2006,0,0.549,31.2,1.7,32.2,51.4,50.2,8,8,4,17,5
Miami Heat,2006,0,0.537,30.8,-1.2,27.9,50.8,49.3,24,15,29,11,24
Golden State Warriors,2006,0,0.512,29.9,-0.3,28.5,48.9,47.2,9,9,1,3,11
Los Angeles Lakers,2006,0,0.512,30.4,-0.2,30.0,49.9,49.6,7,5,8,4,20
New Jersey Nets,2006,0,0.5,30.8,-0.9,27.5,49.9,49.6,18,10,24,5,25
Washington Wizards,2006,0,0.5,29.0,-0.4,31.2,48.5,48.9,3,14,3,7,6
Los Angeles Clippers,2006,0,0.488,30.3,-0.4,30.7,50.9,51.3,21,19,28,29,21
Orlando Magic,2006,0,0.488,29.5,0.8,33.3,50.2,51.9,19,12,30,27,16
New Orleans/Oklahoma City Hornets,2006,0,0.476,30.6,-1.6,31.8,48.5,51.4,23,30,6,23,4
Indiana Pacers,2006,0,0.427,29.8,-2.5,32.1,48.5,50.3,30,27,12,18,7
Philadelphia 76ers,2006,0,0.427,28.7,-3.2,30.6,48.9,49.3,25,23,22,30,19
Charlotte Bobcats,2006,0,0.402,28.6,-3.9,29.9,47.1,48.5,26,26,10,21,17
New York Knicks,2006,0,0.402,30.7,-3.1,33.7,47.1,52.7,17,18,26,19,3
Sacramento Kings,2006,0,0.402,29.2,-1.6,26.7,48.5,47.7,14,11,14,10,27
Minnesota Timberwolves,2006,0,0.39,30.2,-4.0,29.2,48.7,50.0,27,20,16,25,26
Portland Trail Blazers,2006,0,0.39,28.0,-4.8,32.6,45.9,50.7,22,24,23,24,13
Seattle SuperSonics,2006,0,0.378,28.3,-3.0,31.2,47.4,49.2,11,13,11,12,14
Atlanta Hawks,2006,0,0.366,28.2,-5.1,32.8,46.6,49.9,29,28,25,28,9
Milwaukee Bucks,2006,0,0.341,27.7,-4.3,30.6,45.6,47.9,10,16,5,13,12
Boston Celtics,2006,0,0.293,29.2,-3.5,30.9,45.9,50.2,28,25,19,20,18
Memphis Grizzlies,2006,0,0.268,29.0,-5.2,29.1,46.2,48.6,13,4,21,14,23
Boston Celtics,2007,1,0.805,31.9,10.8,30.6,58.1,51.8,11,5,30,8,23
Detroit Pistons,2007,0,0.72,29.5,8.3,32.7,55.2,51.3,7,14,20,22,10
Los Angeles Lakers,2007,0,0.695,33.2,7.3,29.7,55.1,50.7,3,4,6,5,17
New Orleans Hornets,2007,0,0.683,30.4,5.6,30.0,52.6,50.6,6,10,8,6,14
San Antonio Spurs,2007,0,0.683,31.9,5.3,26.8,53.3,50.3,14,12,28,9,27
Houston Rockets,2007,0,0.671,32.4,4.8,32.3,53.5,51.9,17,20,14,10,9
Phoenix Suns,2007,0,0.671,32.7,5.0,25.3,55.6,48.1,2,1,9,4,30
Utah Jazz,2007,0,0.659,29.4,7.2,32.7,55.6,52.1,1,3,18,26,13
Orlando Magic,2007,0,0.634,32.6,5.6,27.4,52.9,50.1,4,2,26,1,28
Dallas Mavericks,2007,0,0.622,32.2,4.8,30.0,53.6,51.4,8,8,24,19,21
Denver Nuggets,2007,0,0.61,32.9,3.4,29.2,52.9,49.4,9,6,2,13,15
Golden State Warriors,2007,0,0.585,30.4,1.9,30.1,49.6,48.1,5,11,1,2,5
Cleveland Cavaliers,2007,0,0.549,31.3,-0.6,33.4,49.0,51.8,20,25,15,14,1
Washington Wizards,2007,0,0.524,29.3,-0.3,32.0,48.8,50.3,12,16,16,11,7
Portland Trail Blazers,2007,0,0.5,29.7,-0.8,30.3,49.5,49.5,15,18,23,15,18
Toronto Raptors,2007,0,0.5,30.4,3.3,26.9,51.9,48.9,10,9,13,12,26
Philadelphia 76ers,2007,0,0.488,28.9,0.5,35.1,50.0,51.5,18,22,17,30,2
Sacramento Kings,2007,0,0.463,30.0,-2.4,29.0,48.3,49.3,13,7,19,17,24
Atlanta Hawks,2007,0,0.451,29.9,-1.8,32.9,49.8,50.6,16,17,21,27,8
Indiana Pacers,2007,0,0.439,32.1,-1.2,27.8,48.5,48.7,19,13,4,3,19
New Jersey Nets,2007,0,0.415,30.7,-5.4,30.0,47.5,50.2,27,21,25,18,16
Chicago Bulls,2007,0,0.402,30.2,-3.1,32.5,48.0,50.0,25,29,5,23,4
Charlotte Bobcats,2007,0,0.39,29.8,-4.5,29.4,46.9,48.3,23,19,22,16,20
Milwaukee Bucks,2007,0,0.317,28.8,-7.2,33.2,45.2,50.6,21,23,11,24,3
Los Angeles Clippers,2007,0,0.28,30.4,-7.5,26.7,46.1,48.4,28,26,27,28,25
New York Knicks,2007,0,0.28,30.0,-6.8,32.1,44.0,50.2,24,27,10,20,6
Memphis Grizzlies,2007,0,0.268,31.3,-6.3,27.7,45.1,48.9,22,15,12,7,22
Minnesota Timberwolves,2007,0,0.268,29.6,-7.3,31.4,43.5,50.1,26,28,7,25,11
Seattle SuperSonics,2007,0,0.244,32.8,-8.6,30.5,45.0,50.2,29,30,3,29,12
Miami Heat,2007,0,0.183,28.6,-9.4,26.4,44.5,47.0,30,24,29,21,29
Cleveland Cavaliers,2008,0,0.805,31.4,9.6,30.6,55.9,51.2,4,4,24,3,18
Los Angeles Lakers,2008,1,0.793,31.5,7.9,32.6,54.7,51.4,3,6,4,14,3
Boston Celtics,2008,0,0.756,31.5,7.9,31.4,56.2,52.4,5,2,28,18,20
Orlando Magic,2008,0,0.72,33.3,7.1,27.3,54.5,50.2,9,5,26,1,27
Denver Nuggets,2008,0,0.659,30.6,3.4,31.1,52.9,50.3,6,3,22,15,15
Portland Trail Blazers,2008,0,0.659,28.8,6.0,35.5,53.1,52.8,2,8,23,8,1
San Antonio Spurs,2008,0,0.659,32.2,4.2,25.8,52.3,50.2,12,11,18,6,30
Houston Rockets,2008,0,0.646,32.5,4.2,30.8,53.0,51.7,16,12,21,7,22
Dallas Mavericks,2008,0,0.61,31.6,2.0,29.7,52.2,50.4,7,9,6,12,13
New Orleans Hornets,2008,0,0.598,29.9,1.8,28.2,51.5,49.6,13,13,27,13,28
Utah Jazz,2008,0,0.585,29.5,2.7,31.6,53.5,50.5,8,7,16,26,11
Atlanta Hawks,2008,0,0.573,29.4,1.7,29.5,50.7,49.0,10,14,25,9,21
Phoenix Suns,2008,0,0.561,30.7,2.0,30.8,52.5,50.3,1,1,11,16,16
Miami Heat,2008,0,0.524,29.4,0.3,28.2,50.5,48.4,18,21,15,10,26
Chicago Bulls,2008,0,0.5,30.3,-0.3,32.1,49.9,49.8,14,20,5,22,7
Philadelphia 76ers,2008,0,0.5,28.5,0.2,34.2,50.3,50.8,20,24,19,29,2
Detroit Pistons,2008,0,0.476,29.9,-0.6,31.1,49.6,50.8,21,27,17,28,9
Indiana Pacers,2008,0,0.439,32.5,-1.0,29.1,48.9,49.8,15,15,2,4,12
Charlotte Bobcats,2008,0,0.427,28.9,-1.3,32.1,49.5,50.4,27,22,30,23,19
Milwaukee Bucks,2008,0,0.415,28.9,-1.1,31.0,48.5,49.6,23,25,8,21,5
New Jersey Nets,2008,0,0.415,29.5,-2.7,28.8,47.4,49.3,19,17,20,5,23
Toronto Raptors,2008,0,0.402,30.6,-3.0,27.6,49.2,49.3,22,18,13,24,29
New York Knicks,2008,0,0.39,31.0,-2.5,27.7,46.7,48.0,17,16,1,2,14
Golden State Warriors,2008,0,0.354,30.4,-3.7,29.3,47.8,47.3,11,10,3,17,10
Memphis Grizzlies,2008,0,0.293,28.5,-6.0,29.7,45.7,49.5,28,23,29,25,24
Minnesota Timberwolves,2008,0,0.293,29.8,-5.0,32.1,45.3,51.1,24,26,7,19,6
Oklahoma City Thunder,2008,0,0.28,30.5,-6.2,30.9,46.4,50.8,29,29,9,30,4
Los Angeles Clippers,2008,0,0.232,29.0,-9.2,28.7,44.1,47.9,30,30,10,20,17
Washington Wizards,2008,0,0.232,28.4,-8.1,31.3,44.8,49.5,26,28,14,27,8
Sacramento Kings,2008,0,0.207,28.9,-9.0,28.9,44.0,47.7,25,19,12,11,25
Cleveland Cavaliers,2009,0,0.744,32.8,6.8,29.3,55.2,51.9,5,3,28,8,27
Orlando Magic,2009,0,0.72,33.4,7.9,28.0,55.1,51.2,4,2,27,1,25
Los Angeles Lakers,2009,1,0.695,32.5,4.9,31.4,52.9,51.2,11,16,7,13,3
Dallas Mavericks,2009,0,0.671,31.5,2.8,27.9,53.4,49.3,10,9,14,10,23
Phoenix Suns,2009,0,0.659,31.9,4.8,31.1,53.6,50.3,1,1,13,3,14
Atlanta Hawks,2009,0,0.646,29.9,4.9,32.0,52.3,50.2,2,14,12,14,5
Denver Nuggets,2009,0,0.646,30.5,4.4,30.4,52.4,49.8,3,7,17,12,17
Utah Jazz,2009,0,0.646,31.6,5.7,31.3,55.0,52.0,7,4,23,23,20
Boston Celtics,2009,0,0.61,29.9,3.7,27.4,54.0,49.3,15,5,30,16,30
Oklahoma City Thunder,2009,0,0.61,31.8,3.5,32.0,53.2,51.1,13,11,20,25,9
Portland Trail Blazers,2009,0,0.61,29.1,3.5,32.0,52.5,51.0,8,12,26,17,15
San Antonio Spurs,2009,0,0.61,32.0,5.4,30.3,53.2,51.5,9,10,18,11,18
Miami Heat,2009,0,0.573,31.1,2.4,29.4,52.2,50.0,19,18,25,18,19
Milwaukee Bucks,2009,0,0.561,31.2,2.1,29.8,49.5,50.1,23,27,2,5,6
Charlotte Bobcats,2009,0,0.537,30.4,1.9,31.5,51.8,51.0,24,17,29,22,21
Houston Rockets,2009,0,0.512,30.1,0.0,30.9,48.9,49.8,16,19,3,6,7
Chicago Bulls,2009,0,0.5,33.1,-1.6,30.3,50.0,50.9,27,26,10,29,12
Memphis Grizzlies,2009,0,0.488,30.4,-1.5,35.5,48.6,52.3,12,20,8,30,1
Toronto Raptors,2009,0,0.488,30.6,-2.0,28.8,48.9,49.5,6,6,19,15,26
New Orleans Hornets,2009,0,0.451,29.9,-2.4,28.2,48.4,48.6,17,15,9,9,22
Indiana Pacers,2009,0,0.39,31.9,-3.0,25.5,47.6,47.3,26,21,11,4,28
Los Angeles Clippers,2009,0,0.354,30.5,-6.8,30.5,46.5,50.0,28,23,21,19,13
New York Knicks,2009,0,0.354,30.2,-4.0,26.8,47.4,47.6,18,13,6,2,24
Detroit Pistons,2009,0,0.329,27.3,-5.9,34.6,44.8,51.0,21,29,22,27,2
Philadelphia 76ers,2009,0,0.329,29.5,-4.1,31.0,47.8,49.8,20,22,15,21,11
Golden State Warriors,2009,0,0.317,29.2,-3.3,25.4,47.0,45.3,14,8,1,7,29
Washington Wizards,2009,0,0.317,30.0,-5.3,31.7,46.2,50.1,25,25,16,24,8
Sacramento Kings,2009,0,0.305,30.7,-4.7,31.5,46.7,50.4,22,24,5,20,4
Minnesota Timberwolves,2009,0,0.183,31.2,-9.8,30.8,43.2,50.1,29,28,4,26,10
New Jersey Nets,2009,0,0.146,28.8,-9.6,28.5,42.9,47.8,30,30,24,28,16
Chicago Bulls,2010,0,0.756,32.4,7.8,33.2,55.5,52.8,12,15,22,15,6
San Antonio Spurs,2010,0,0.744,31.7,6.1,27.6,53.8,50.0,3,3,16,4,23
Miami Heat,2010,0,0.707,32.5,7.8,28.7,55.6,51.4,2,2,29,11,26
Dallas Mavericks,2010,1,0.695,31.9,4.4,27.8,53.8,50.4,9,4,24,8,28
Los Angeles Lakers,2010,0,0.695,31.9,6.3,32.5,54.1,51.3,7,11,11,12,4
Boston Celtics,2010,0,0.683,31.0,5.7,25.7,55.8,49.7,17,5,30,26,30
Oklahoma City Thunder,2010,0,0.671,31.8,3.9,30.6,52.9,50.7,5,6,17,18,15
Orlando Magic,2010,0,0.634,32.7,5.6,30.4,53.4,51.8,10,9,26,1,17
Denver Nuggets,2010,0,0.61,32.3,4.9,28.3,52.4,50.6,1,1,18,7,27
Portland Trail Blazers,2010,0,0.585,27.2,1.6,33.1,51.6,49.9,11,20,19,13,5
Memphis Grizzlies,2010,0,0.561,29.2,2.5,33.3,51.8,50.5,14,19,8,30,7
New Orleans Hornets,2010,0,0.561,30.1,1.0,28.9,50.7,50.3,18,16,27,22,24
Atlanta Hawks,2010,0,0.537,30.0,-0.7,27.4,49.3,49.4,21,14,25,17,29
Houston Rockets,2010,0,0.524,31.1,2.3,31.5,51.5,50.1,4,10,3,6,8
New York Knicks,2010,0,0.512,30.1,1.0,27.3,50.4,47.3,6,7,6,2,21
Philadelphia 76ers,2010,0,0.5,31.4,1.5,27.8,51.0,49.7,19,17,10,23,19
Phoenix Suns,2010,0,0.488,30.2,-0.8,27.5,49.4,48.0,8,8,7,3,25
Utah Jazz,2010,0,0.476,28.5,-1.8,31.4,50.0,49.6,15,12,20,24,16
Indiana Pacers,2010,0,0.451,32.4,-0.9,29.7,49.2,50.1,23,21,9,10,13
Golden State Warriors,2010,0,0.439,28.9,-2.3,30.0,47.2,47.6,13,13,1,5,10
Milwaukee Bucks,2010,0,0.427,30.2,-0.8,28.7,48.8,49.2,30,30,23,19,18
Charlotte Bobcats,2010,0,0.415,29.8,-4.2,29.8,48.0,50.2,26,24,28,27,22
Los Angeles Clippers,2010,0,0.39,30.5,-3.2,33.0,48.3,51.1,22,18,21,14,11
Detroit Pistons,2010,0,0.366,27.3,-3.7,31.7,46.4,49.1,16,22,13,20,12
New Jersey Nets,2010,0,0.293,29.8,-6.8,30.4,45.2,49.7,27,28,15,21,14
Sacramento Kings,2010,0,0.293,30.8,-5.5,33.4,46.2,51.2,25,26,4,25,2
Washington Wizards,2010,0,0.28,29.0,-7.8,31.7,44.5,48.8,29,29,5,28,3
Toronto Raptors,2010,0,0.268,28.6,-6.5,31.4,45.9,49.5,20,23,12,29,9
Cleveland Cavaliers,2010,0,0.232,29.9,-9.5,28.3,44.1,48.5,28,27,14,16,20
Minnesota Timberwolves,2010,0,0.207,31.2,-6.7,33.6,44.3,51.2,24,25,2,9,1
Chicago Bulls,2011,0,0.758,32.8,8.8,36.1,56.1,53.6,5,19,7,17,1
San Antonio Spurs,2011,0,0.758,32.6,7.7,28.2,54.6,50.7,1,2,8,2,25
Oklahoma City Thunder,2011,0,0.712,32.7,6.3,30.4,54.2,50.9,2,1,25,9,19
Miami Heat,2011,1,0.697,31.2,6.4,29.9,55.3,50.4,6,4,26,20,24
Indiana Pacers,2011,0,0.636,31.4,3.3,33.3,52.1,51.1,7,16,16,19,6
Los Angeles Lakers,2011,0,0.621,34.1,1.3,32.7,52.4,53.2,10,9,21,21,8
Memphis Grizzlies,2011,0,0.621,29.5,2.2,33.5,51.4,50.8,20,24,12,27,5
Atlanta Hawks,2011,0,0.606,31.3,3.8,27.9,52.6,49.3,13,7,19,7,28
Los Angeles Clippers,2011,0,0.606,29.4,2.7,33.1,51.7,50.7,4,10,17,4,9
Boston Celtics,2011,0,0.591,31.1,2.6,24.5,53.5,47.8,24,8,30,22,30
Denver Nuggets,2011,0,0.576,31.9,3.2,31.6,52.7,51.5,3,3,15,15,16
Orlando Magic,2011,0,0.561,31.2,0.6,30.6,49.3,51.0,15,11,27,1,17
Dallas Mavericks,2011,0,0.545,32.7,1.1,26.8,51.0,49.3,22,15,14,8,27
New York Knicks,2011,0,0.545,30.5,3.2,30.9,52.0,50.3,17,12,20,5,15
Utah Jazz,2011,0,0.545,31.1,0.5,34.0,50.9,51.9,8,17,4,28,3
Philadelphia 76ers,2011,0,0.53,32.5,4.6,27.7,53.2,49.5,21,25,5,24,22
Houston Rockets,2011,0,0.515,30.5,0.2,30.9,49.7,49.9,14,14,3,10,12
Phoenix Suns,2011,0,0.5,30.8,-0.1,29.4,50.2,49.3,9,6,9,13,21
Milwaukee Bucks,2011,0,0.47,30.0,0.4,31.4,50.3,49.0,11,20,2,16,7
Portland Trail Blazers,2011,0,0.424,29.5,-0.9,30.3,49.4,49.3,12,13,13,11,18
Minnesota Timberwolves,2011,0,0.394,31.7,-2.2,31.1,48.3,50.2,18,18,11,12,10
Detroit Pistons,2011,0,0.379,28.5,-5.0,32.2,44.8,50.0,25,26,24,26,13
Golden State Warriors,2011,0,0.348,29.5,-3.4,25.6,47.2,46.0,16,5,10,3,29
Toronto Raptors,2011,0,0.348,31.4,-3.9,29.4,47.8,50.3,29,21,28,23,23
New Jersey Nets,2011,0,0.333,28.5,-6.3,31.4,44.8,48.9,23,23,22,6,11
Sacramento Kings,2011,0,0.333,29.5,-5.8,32.1,45.1,48.7,19,27,1,18,2
Cleveland Cavaliers,2011,0,0.318,29.5,-7.6,32.3,43.9,49.6,26,29,18,14,4
New Orleans Hornets,2011,0,0.318,30.2,-4.0,31.0,48.2,50.6,28,22,29,30,20
Washington Wizards,2011,0,0.303,29.9,-5.0,30.8,46.0,48.9,27,28,6,25,14
Charlotte Bobcats,2011,0,0.106,28.7,-15.0,28.5,41.1,47.4,30,30,23,29,26
Miami Heat,2012,1,0.805,30.4,8.2,26.4,56.4,48.5,1,1,30,3,28
Oklahoma City Thunder,2012,0,0.732,33.2,9.9,29.1,57.0,51.3,2,2,29,13,25
San Antonio Spurs,2012,0,0.707,33.2,6.7,24.3,55.1,49.3,7,3,19,7,29
Denver Nuggets,2012,0,0.695,31.7,5.1,34.5,53.8,51.3,5,7,2,20,1
Los Angeles Clippers,2012,0,0.683,30.2,6.9,32.3,54.8,51.2,3,5,24,10,15
Memphis Grizzlies,2012,0,0.683,29.8,4.5,34.4,53.1,52.0,18,22,17,30,3
New York Knicks,2012,0,0.659,29.7,4.5,29.1,51.2,49.4,4,6,15,1,18
Brooklyn Nets,2012,0,0.598,30.0,2.0,34.3,50.9,52.0,9,13,27,9,5
Indiana Pacers,2012,0,0.605,33.0,4.4,33.6,53.7,52.2,19,19,25,16,4
Golden State Warriors,2012,0,0.573,34.2,0.9,28.5,50.2,50.6,12,10,9,8,21
Chicago Bulls,2012,0,0.549,30.7,0.5,33.2,51.4,51.4,23,25,13,29,6
Houston Rockets,2012,0,0.549,32.3,3.5,30.5,51.0,50.9,6,4,10,2,17
Los Angeles Lakers,2012,0,0.549,33.3,1.1,30.9,51.3,51.0,8,8,21,4,13
Atlanta Hawks,2012,0,0.537,31.6,0.3,25.4,50.9,48.2,17,9,22,5,27
Utah Jazz,2012,0,0.524,30.0,-0.2,32.9,50.4,51.0,10,15,12,23,8
Boston Celtics,2012,0,0.506,31.3,-0.5,24.6,50.7,47.7,24,12,28,25,30
Dallas Mavericks,2012,0,0.5,32.6,-0.6,25.9,50.2,48.4,14,11,8,11,26
Milwaukee Bucks,2012,0,0.463,30.9,-1.7,31.5,48.8,49.1,22,28,1,14,2
Philadelphia 76ers,2012,0,0.415,30.4,-3.7,29.1,47.4,48.9,26,29,7,21,19
Toronto Raptors,2012,0,0.415,29.6,-1.4,29.6,48.4,49.0,13,16,18,15,24
Portland Trail Blazers,2012,0,0.402,30.2,-3.4,29.4,46.8,49.5,15,14,11,6,23
Minnesota Timberwolves,2012,0,0.378,30.2,-2.2,31.2,49.4,50.0,25,21,14,28,11
Detroit Pistons,2012,0,0.354,30.0,-4.5,32.4,46.7,50.6,21,20,23,22,9
Washington Wizards,2012,0,0.354,32.3,-2.3,27.9,48.1,49.1,30,26,16,18,22
Sacramento Kings,2012,0,0.341,29.1,-4.7,30.6,45.4,48.5,11,17,4,12,14
New Orleans Hornets,2012,0,0.329,29.6,-4.4,33.2,46.4,51.4,16,18,26,19,10
Phoenix Suns,2012,0,0.305,29.9,-6.7,30.8,45.8,49.1,29,27,3,26,12
Cleveland Cavaliers,2012,0,0.293,28.8,-5.0,32.6,45.0,50.0,20,23,5,17,7
Charlotte Bobcats,2012,0,0.256,29.1,-9.9,30.5,43.8,48.6,28,30,20,27,16
Orlando Magic,2012,0,0.244,31.9,-7.4,29.3,45.9,49.8,27,24,6,24,20
San Antonio Spurs,2013,1,0.756,34.0,8.1,26.1,55.5,50.3,5,2,12,12,26
Oklahoma City Thunder,2013,0,0.72,33.9,6.4,29.4,54.3,51.8,7,5,14,14,18
Los Angeles Clippers,2013,0,0.695,32.5,7.3,28.8,54.8,49.6,1,4,16,13,21
Indiana Pacers,2013,0,0.683,34.5,4.7,29.6,54.5,51.7,21,18,27,22,22
Houston Rockets,2013,0,0.659,34.1,4.6,30.6,53.4,51.3,4,3,26,1,15
Miami Heat,2013,0,0.659,29.2,5.1,24.4,53.9,47.6,3,1,30,15,30
Portland Trail Blazers,2013,0,0.659,34.0,4.2,32.0,52.4,51.7,2,11,3,2,2
Golden State Warriors,2013,0,0.622,34.4,4.9,28.4,52.8,50.8,12,10,6,3,17
Memphis Grizzlies,2013,0,0.61,30.8,1.7,32.6,51.8,52.1,14,21,22,30,9
Dallas Mavericks,2013,0,0.598,30.7,2.3,27.6,52.1,48.7,6,6,11,8,23
Chicago Bulls,2013,0,0.585,32.7,1.9,32.1,52.8,51.8,28,26,28,26,11
Phoenix Suns,2013,0,0.585,31.7,2.6,29.8,50.9,50.0,8,7,13,6,14
Toronto Raptors,2013,0,0.585,31.1,3.3,31.2,51.2,50.5,9,12,23,9,12
Brooklyn Nets,2013,0,0.537,29.4,-1.3,26.0,49.2,47.5,15,8,29,10,28
Washington Wizards,2013,0,0.537,31.4,1.3,28.6,50.4,49.8,19,15,9,16,19
Charlotte Bobcats,2013,0,0.524,33.2,-0.4,26.9,50.8,50.0,24,24,21,25,25
Minnesota Timberwolves,2013,0,0.488,32.2,2.6,31.7,51.9,50.8,10,19,1,17,3
Atlanta Hawks,2013,0,0.463,31.3,-0.7,25.6,50.2,48.5,20,9,24,4,29
New York Knicks,2013,0,0.451,29.7,-1.1,29.1,49.0,49.2,11,14,19,7,20
Denver Nuggets,2013,0,0.439,33.1,-2.2,31.0,48.1,50.5,17,17,5,11,4
New Orleans Pelicans,2013,0,0.415,30.3,-3.0,30.5,48.3,49.7,13,16,17,29,13
Cleveland Cavaliers,2013,0,0.402,32.1,-3.6,31.4,46.9,50.8,22,27,8,18,5
Detroit Pistons,2013,0,0.354,30.8,-3.7,34.7,46.4,51.1,16,29,4,27,1
Sacramento Kings,2013,0,0.341,32.4,-2.7,31.6,47.3,51.8,18,20,18,28,6
Los Angeles Lakers,2013,0,0.329,32.0,-6.0,23.5,46.0,45.9,23,13,7,5,27
Boston Celtics,2013,0,0.305,30.5,-4.6,31.4,46.1,50.5,26,28,10,19,7
Utah Jazz,2013,0,0.305,30.2,-7.6,29.7,45.1,49.7,25,23,25,24,16
Orlando Magic,2013,0,0.28,32.4,-5.7,26.7,46.6,49.0,29,22,15,21,24
Philadelphia 76ers,2013,0,0.232,31.2,-10.0,29.0,42.6,47.9,30,30,2,20,10
Milwaukee Bucks,2013,0,0.183,29.3,-8.3,31.0,44.9,49.0,27,25,20,23,8
Golden State Warriors,2014,1,0.817,34.3,9.9,27.3,56.9,49.8,2,1,3,2,21
