TEAM,YEAR,IS_CHAMP,WIN%,DREB,NETRTG,OREB%,PIE,REB%,OFFRTG_RANK,TS%_RANK,FGA_RANK,3PM_RANK,OREB_RANK
Atlanta Hawks,2014,0,0.732,31.8,5.9,26.4,54.0,48.7,5,3,27,5,30
Houston Rockets,2014,0,0.683,32.0,3.4,30.5,50.9,49.6,12,8,12,1,6
Los Angeles Clippers,2014,0,0.683,33.1,6.9,27.2,54.0,49.7,1,2,13,3,28
Memphis Grizzlies,2014,0,0.671,32.1,3.5,28.8,53.0,50.3,13,18,23,29,22
San Antonio Spurs,2014,0,0.671,33.8,6.3,27.2,54.5,50.7,7,5,11,12,27
Cleveland Cavaliers,2014,0,0.646,31.9,4.8,31.1,51.4,51.3,4,4,24,4,11
Portland Trail Blazers,2014,0,0.622,35.1,4.3,28.2,52.2,51.0,8,9,5,6,15
Chicago Bulls,2014,0,0.61,34.0,3.0,31.2,52.9,51.6,11,14,18,15,7
Dallas Mavericks,2014,0,0.61,31.8,3.2,26.9,52.1,47.7,6,7,6,7,19
Toronto Raptors,2014,0,0.598,30.8,3.1,30.1,50.6,49.4,3,6,14,8,16
Washington Wizards,2014,0,0.561,34.2,0.6,28.8,52.5,51.4,22,16,20,26,20
New Orleans Pelicans,2014,0,0.549,32.0,0.8,30.9,50.8,51.1,9,12,19,19,10
Oklahoma City Thunder,2014,0,0.549,34.7,2.1,31.8,50.5,52.4,10,17,4,16,1
Milwaukee Bucks,2014,0,0.5,31.4,0.6,29.0,51.1,49.1,25,15,25,23,17
Boston Celtics,2014,0,0.488,32.7,0.3,28.9,49.8,49.5,19,22,1,13,12
Phoenix Suns,2014,0,0.476,32.2,-1.1,28.1,49.1,48.9,16,13,7,10,13
Brooklyn Nets,2014,0,0.463,32.0,-3.0,27.8,48.0,49.1,20,20,17,24,24
Indiana Pacers,2014,0,0.463,34.4,0.2,28.6,50.5,51.1,23,23,15,17,23
Utah Jazz,2014,0,0.463,31.9,0.1,33.2,50.7,52.4,17,19,29,18,4
Miami Heat,2014,0,0.451,30.0,-3.0,28.4,49.2,48.9,21,11,30,20,29
Charlotte Hornets,2014,0,0.402,34.1,-3.4,27.0,48.2,50.2,28,29,10,27,25
Detroit Pistons,2014,0,0.39,32.1,-1.1,31.6,47.8,50.5,15,26,8,9,2
Denver Nuggets,2014,0,0.366,32.4,-3.3,30.3,46.5,49.4,18,24,2,14,3
Sacramento Kings,2014,0,0.354,33.3,-3.7,31.3,48.5,51.9,14,10,28,28,14
Orlando Magic,2014,0,0.305,31.8,-5.9,26.9,45.5,49.1,27,21,21,21,26
Los Angeles Lakers,2014,0,0.256,32.3,-7.1,29.0,45.0,49.7,24,27,9,25,8
Philadelphia 76ers,2014,0,0.22,30.9,-9.0,29.3,42.6,48.0,30,30,22,11,5
New York Knicks,2014,0,0.207,29.8,-10.1,28.9,44.1,48.4,29,28,26,22,18
Minnesota Timberwolves,2014,0,0.195,29.3,-9.1,31.1,45.3,48.9,26,25,16,30,9
Golden State Warriors,2015,0,0.89,36.2,10.6,26.7,56.7,50.7,1,1,3,1,20
San Antonio Spurs,2015,0,0.817,34.5,11.1,26.6,57.8,51.6,4,3,24,25,25
Cleveland Cavaliers,2015,1,0.695,33.9,6.3,29.4,52.8,51.9,3,4,19,2,12
Toronto Raptors,2015,0,0.683,33.2,4.4,30.0,52.5,52.0,5,7,28,13,19
Oklahoma City Thunder,2015,0,0.671,35.6,7.4,34.7,54.6,54.1,2,2,5,17,1
LA Clippers,2015,0,0.646,33.3,4.5,23.4,53.3,47.2,8,5,25,8,29
Atlanta Hawks,2015,0,0.585,33.8,3.9,23.4,52.8,47.4,20,8,15,6,30
Boston Celtics,2015,0,0.585,33.3,3.3,29.0,52.0,49.5,10,21,1,12,3
Charlotte Hornets,2015,0,0.585,35.0,2.7,24.4,51.1,49.9,9,12,16,4,28
Miami Heat,2015,0,0.585,34.3,1.7,28.0,52.5,51.2,11,13,27,27,22
Indiana Pacers,2015,0,0.549,33.9,1.6,27.1,51.8,49.4,25,19,13,18,17
Detroit Pistons,2015,0,0.537,33.9,0.3,31.3,48.6,52.1,14,28,6,10,2
Portland Trail Blazers,2015,0,0.537,33.9,0.8,29.4,49.3,51.0,6,10,8,5,4
Chicago Bulls,2015,0,0.512,35.2,-1.4,29.0,49.4,50.6,23,25,2,21,9
Dallas Mavericks,2015,0,0.512,33.9,-0.4,24.1,50.3,48.4,12,14,18,7,26
Memphis Grizzlies,2015,0,0.512,30.5,-2.4,29.8,48.3,49.5,19,27,22,28,8
Houston Rockets,2015,0,0.5,31.7,0.0,29.7,49.0,49.2,7,6,23,3,7
Washington Wizards,2015,0,0.5,32.8,-0.5,25.0,49.7,49.0,21,15,10,14,27
Utah Jazz,2015,0,0.488,32.5,1.8,30.3,50.8,51.7,16,16,30,16,10
Orlando Magic,2015,0,0.427,33.0,-1.6,27.1,48.8,49.5,22,20,4,22,18
Denver Nuggets,2015,0,0.402,33.1,-3.3,30.4,47.9,51.3,17,22,12,19,5
Milwaukee Bucks,2015,0,0.402,31.2,-4.5,28.6,48.3,49.0,26,17,26,30,14
Sacramento Kings,2015,0,0.402,33.7,-2.3,28.1,49.4,50.0,15,11,7,20,13
New York Knicks,2015,0,0.39,34.0,-2.8,28.0,48.7,50.2,24,23,20,24,16
New Orleans Pelicans,2015,0,0.366,33.1,-3.7,25.2,47.2,49.3,18,18,9,15,23
Minnesota Timberwolves,2015,0,0.354,31.5,-3.5,27.9,49.7,49.4,13,9,29,29,21
Phoenix Suns,2015,0,0.28,33.3,-6.5,29.7,45.0,50.8,28,26,11,11,6
Brooklyn Nets,2015,0,0.256,31.9,-7.4,27.9,46.0,49.4,27,24,17,26,15
Los Angeles Lakers,2015,0,0.207,32.3,-9.7,27.1,42.4,48.4,29,30,14,23,11
Philadelphia 76ers,2015,0,0.122,31.8,-10.2,25.0,42.8,46.6,30,29,21,9,24
Golden State Warriors,2016,1,0.817,35.0,11.4,27.2,57.9,50.4,1,1,8,3,19
San Antonio Spurs,2016,0,0.744,33.9,7.4,28.2,55.1,51.1,9,8,24,16,16
Houston Rockets,2016,0,0.671,33.5,5.7,28.1,51.6,49.9,2,2,7,1,9
Boston Celtics,2016,0,0.646,32.9,2.6,25.9,51.4,48.5,7,6,18,4,22
Cleveland Cavaliers,2016,0,0.622,34.4,3.1,26.4,51.0,49.9,3,3,19,2,21
LA Clippers,2016,0,0.622,34.0,4.4,25.6,52.7,50.1,5,4,26,9,23
Toronto Raptors,2016,0,0.622,32.6,4.3,29.1,51.6,50.5,6,11,21,21,11
Utah Jazz,2016,0,0.622,33.8,4.3,27.0,53.4,51.4,12,10,30,13,20
Washington Wizards,2016,0,0.598,32.6,1.7,28.6,51.1,50.1,8,9,10,17,13
Oklahoma City Thunder,2016,0,0.573,34.4,0.8,32.3,49.9,52.8,15,21,5,26,1
Atlanta Hawks,2016,0,0.524,34.1,-0.7,28.2,50.6,50.2,27,18,22,19,14
Memphis Grizzlies,2016,0,0.524,32.0,0.5,29.5,50.1,50.7,19,26,25,14,10
Indiana Pacers,2016,0,0.512,33.0,-0.2,25.5,50.5,48.8,16,13,20,23,24
Milwaukee Bucks,2016,0,0.512,31.6,-0.2,26.0,50.4,48.7,13,7,29,22,25
Chicago Bulls,2016,0,0.5,34.1,0.3,31.1,50.4,51.9,21,28,9,28,2
Miami Heat,2016,0,0.5,33.0,1.0,28.4,50.0,49.9,17,19,14,12,12
Portland Trail Blazers,2016,0,0.5,33.5,-0.6,26.9,49.3,49.6,11,12,13,8,15
Denver Nuggets,2016,0,0.488,34.6,0.4,31.4,50.3,53.2,4,5,4,7,5
Detroit Pistons,2016,0,0.451,34.6,-1.4,28.6,48.2,51.9,23,30,1,27,8
Charlotte Hornets,2016,0,0.439,34.8,0.0,24.7,50.5,49.6,14,17,15,11,26
New Orleans Pelicans,2016,0,0.415,35.1,-2.1,22.8,49.3,48.0,25,22,11,15,29
Dallas Mavericks,2016,0,0.402,30.7,-3.0,21.6,47.9,46.5,26,20,27,5,30
Sacramento Kings,2016,0,0.39,32.3,-4.2,25.8,47.8,49.2,20,14,28,18,28
Minnesota Timberwolves,2016,0,0.378,31.0,-0.9,30.9,50.1,50.7,10,15,23,30,6
New York Knicks,2016,0,0.378,33.2,-3.6,30.5,48.2,50.0,18,27,2,24,3
Orlando Magic,2016,0,0.354,33.3,-6.5,26.7,46.0,49.1,28,29,12,25,17
Philadelphia 76ers,2016,0,0.341,33.0,-5.5,27.3,47.0,49.0,30,23,16,10,18
Los Angeles Lakers,2016,0,0.317,32.1,-6.7,28.4,44.6,49.4,24,25,6,20,7
Phoenix Suns,2016,0,0.293,33.1,-5.2,29.9,46.2,50.3,22,24,3,29,4
Brooklyn Nets,2016,0,0.244,35.1,-6.5,24.1,46.0,48.3,29,16,17,6,27
Houston Rockets,2017,0,0.793,34.5,8.4,25.4,53.1,50.3,1,2,27,1,23
Toronto Raptors,2017,0,0.72,34.2,7.7,27.4,53.8,50.2,2,4,6,4,14
Golden State Warriors,2017,1,0.707,35.1,5.9,24.3,55.4,49.7,3,1,24,8,28
Boston Celtics,2017,0,0.671,35.1,3.6,26.3,51.9,50.4,18,14,25,6,20
Philadelphia 76ers,2017,0,0.634,36.5,4.6,28.6,54.2,52.0,11,8,12,10,3
Cleveland Cavaliers,2017,0,0.61,33.7,1.0,24.3,50.2,49.2,5,3,26,3,27
Portland Trail Blazers,2017,0,0.598,35.3,2.7,27.9,51.0,51.3,14,17,8,16,9
Indiana Pacers,2017,0,0.585,32.7,1.3,27.1,50.9,49.6,12,13,14,25,16
New Orleans Pelicans,2017,0,0.585,35.6,1.1,24.0,52.5,49.4,13,5,3,18,26
Oklahoma City Thunder,2017,0,0.585,32.6,3.7,32.0,50.8,51.5,7,21,4,15,1
Utah Jazz,2017,0,0.585,34.2,4.4,25.6,53.2,50.9,16,10,29,13,24
Minnesota Timberwolves,2017,0,0.573,31.6,2.3,28.9,51.8,50.3,4,9,15,30,7
San Antonio Spurs,2017,0,0.573,33.9,3.0,27.7,52.5,50.8,17,25,21,28,6
Denver Nuggets,2017,0,0.561,33.5,1.4,30.0,51.1,51.7,6,7,13,7,2
Miami Heat,2017,0,0.537,34.2,0.4,26.1,50.5,50.1,21,15,23,11,21
Milwaukee Bucks,2017,0,0.537,31.5,-0.2,24.4,50.2,48.0,9,6,28,27,29
Washington Wizards,2017,0,0.524,33.1,0.4,27.4,50.9,50.4,15,12,19,21,13
LA Clippers,2017,0,0.512,33.7,0.2,28.4,49.7,50.4,8,11,22,22,10
Detroit Pistons,2017,0,0.476,33.6,-0.1,26.9,48.9,49.9,19,26,9,14,11
Charlotte Hornets,2017,0,0.439,35.4,-0.1,27.1,50.0,51.2,10,18,11,19,12
Los Angeles Lakers,2017,0,0.427,35.7,-1.3,27.9,49.1,50.5,23,19,2,20,4
New York Knicks,2017,0,0.354,33.6,-3.4,28.9,48.1,50.9,20,23,5,29,5
Brooklyn Nets,2017,0,0.341,34.8,-3.6,25.1,47.4,48.9,22,16,10,2,15
Chicago Bulls,2017,0,0.329,35.0,-7.0,25.6,45.3,50.0,28,29,1,12,17
Sacramento Kings,2017,0,0.329,31.4,-7.3,26.4,45.1,48.9,29,30,16,26,18
Orlando Magic,2017,0,0.305,32.8,-4.7,24.8,47.2,48.0,25,22,17,17,25
Atlanta Hawks,2017,0,0.293,32.8,-5.7,26.3,46.8,48.9,26,20,20,9,22
Dallas Mavericks,2017,0,0.293,33.1,-2.9,22.4,47.5,47.8,24,24,18,5,30
Memphis Grizzlies,2017,0,0.268,31.0,-6.8,27.6,46.0,49.3,27,27,30,24,19
Phoenix Suns,2017,0,0.256,33.9,-9.0,27.1,44.2,49.3,30,28,7,23,8
Milwaukee Bucks,2018,0,0.732,40.4,8.6,25.0,55.3,51.6,4,2,6,2,25
Toronto Raptors,2018,1,0.707,35.6,5.8,26.5,53.3,50.2,5,4,15,8,24
Golden State Warriors,2018,0,0.695,36.5,6.5,25.7,54.6,50.5,1,1,12,3,21
Denver Nuggets,2018,0,0.659,34.5,4.0,30.8,52.4,52.4,7,14,11,17,2
Houston Rockets,2018,0,0.646,31.9,4.8,26.9,49.8,48.1,2,3,25,1,14
Portland Trail Blazers,2018,0,0.646,36.2,4.2,30.8,52.1,52.6,3,9,7,18,3
Philadelphia 76ers,2018,0,0.622,36.9,2.6,27.8,52.9,51.7,8,6,20,19,11
Utah Jazz,2018,0,0.61,36.4,5.0,27.5,53.9,52.2,14,7,29,9,17
Boston Celtics,2018,0,0.598,34.7,4.3,25.7,53.0,49.5,10,10,8,6,20
Oklahoma City Thunder,2018,0,0.598,35.5,3.4,29.8,50.6,50.9,16,25,1,12,1
Indiana Pacers,2018,0,0.585,33.7,3.4,26.9,52.7,49.9,18,13,27,29,26
LA Clippers,2018,0,0.585,35.8,1.0,26.3,50.5,50.0,9,5,24,24,22
San Antonio Spurs,2018,0,0.585,35.5,1.6,24.6,51.6,50.1,6,8,17,26,27
Brooklyn Nets,2018,0,0.512,35.6,-0.1,28.2,49.2,50.1,19,15,14,5,9
Orlando Magic,2018,0,0.512,35.4,0.6,25.9,50.8,50.4,22,23,16,13,18
Detroit Pistons,2018,0,0.5,33.6,-0.3,29.1,48.2,50.9,21,26,18,10,5
Charlotte Hornets,2018,0,0.476,33.9,-1.3,26.8,48.6,49.5,11,18,13,11,19
Miami Heat,2018,0,0.476,35.1,-0.4,29.1,50.1,50.9,26,27,21,14,7
Sacramento Kings,2018,0,0.476,34.4,-1.2,26.8,49.5,48.7,17,19,2,15,10
Los Angeles Lakers,2018,0,0.451,36.4,-1.6,27.0,49.5,50.2,24,20,9,20,15
Minnesota Timberwolves,2018,0,0.439,33.5,-1.6,29.2,49.8,49.7,13,21,5,23,6
Dallas Mavericks,2018,0,0.402,35.2,-1.5,27.3,49.2,50.3,20,16,28,7,16
Memphis Grizzlies,2018,0,0.402,33.0,-2.4,24.7,49.0,48.4,27,24,30,27,29
New Orleans Pelicans,2018,0,0.402,36.2,-1.3,28.5,49.8,50.9,12,12,3,21,8
Washington Wizards,2018,0,0.39,32.7,-2.7,25.2,48.7,47.7,15,11,10,16,23
Atlanta Hawks,2018,0,0.354,34.5,-5.5,28.4,46.4,49.6,23,17,4,4,4
Chicago Bulls,2018,0,0.268,34.1,-8.3,24.2,45.3,48.3,29,28,22,30,30
Cleveland Cavaliers,2018,0,0.232,31.9,-10.0,28.2,43.6,49.6,25,29,23,22,12
Phoenix Suns,2018,0,0.232,31.3,-8.9,24.7,45.0,46.4,28,22,26,28,28
New York Knicks,2018,0,0.207,34.3,-8.9,26.4,44.2,48.6,30,30,19,25,13
Milwaukee Bucks,2019,0,0.767,42.2,9.4,24.1,56.2,52.4,7,3,4,3,24
Toronto Raptors,2019,0,0.736,35.9,6.1,25.6,53.0,49.6,13,8,23,4,25
Los Angeles Lakers,2019,1,0.732,35.1,5.6,28.3,53.9,51.2,10,9,20,23,6
LA Clippers,2019,0,0.681,37.0,6.3,27.8,53.2,51.5,2,6,14,13,7
Boston Celtics,2019,0,0.667,35.4,6.3,28.3,53.1,50.9,4,12,11,12,8
Denver Nuggets,2019,0,0.63,33.4,2.2,29.4,51.7,50.9,5,15,15,24,4
Indiana Pacers,2019,0,0.616,34.1,1.9,24.3,52.0,48.7,18,18,18,29,28
Houston Rockets,2019,0,0.611,34.5,2.7,24.9,49.4,48.0,6,5,8,1,20
Miami Heat,2019,0,0.603,35.9,2.7,25.7,52.5,51.2,8,1,30,6,29
Oklahoma City Thunder,2019,0,0.611,34.7,2.1,24.1,51.9,49.2,17,10,28,26,30
Utah Jazz,2019,0,0.611,35.8,2.5,26.1,51.3,51.2,9,2,29,7,26
Dallas Mavericks,2019,0,0.573,36.4,4.8,27.5,52.1,50.9,1,4,9,2,10
Philadelphia 76ers,2019,0,0.589,35.0,2.3,28.1,52.3,51.6,14,16,24,19,11
Brooklyn Nets,2019,0,0.486,37.3,-0.5,28.0,50.0,51.1,21,22,10,9,9
Portland Trail Blazers,2019,0,0.473,35.1,-1.1,26.6,48.6,49.2,3,13,3,10,16
Memphis Grizzlies,2019,0,0.466,36.2,-1.0,27.1,50.7,50.6,22,20,5,25,14
Phoenix Suns,2019,0,0.466,33.8,0.5,26.1,51.2,49.8,12,7,22,20,21
Orlando Magic,2019,0,0.452,34.2,-1.3,26.7,49.6,50.0,23,27,16,22,15
San Antonio Spurs,2019,0,0.451,35.6,-0.9,23.3,50.2,49.5,11,11,12,27,27
Sacramento Kings,2019,0,0.431,32.9,-1.9,25.8,47.9,49.2,19,17,19,11,23
New Orleans Pelicans,2019,0,0.417,35.4,-1.3,28.7,49.5,50.8,15,14,1,5,2
Washington Wizards,2019,0,0.347,31.9,-4.5,26.2,47.3,47.8,16,19,6,16,17
Charlotte Hornets,2019,0,0.354,31.8,-7.0,28.0,45.5,48.6,27,29,26,15,3
Chicago Bulls,2019,0,0.338,31.4,-3.1,26.7,46.6,48.1,29,26,17,14,12
New York Knicks,2019,0,0.318,34.5,-6.5,30.0,46.1,51.3,28,30,13,30,1
Atlanta Hawks,2019,0,0.299,33.4,-7.4,26.7,45.4,48.4,25,23,7,17,19
Detroit Pistons,2019,0,0.303,32.0,-3.5,27.7,47.3,49.3,20,21,27,18,22
Cleveland Cavaliers,2019,0,0.292,33.4,-7.9,29.6,45.3,51.2,26,24,25,21,5
Minnesota Timberwolves,2019,0,0.297,34.3,-4.0,26.4,47.2,48.8,24,25,2,8,13
Golden State Warriors,2019,0,0.231,32.9,-8.6,25.5,46.2,48.1,30,28,21,28,18
Utah Jazz,2020,0,0.722,37.6,9.0,28.4,54.2,52.9,4,3,18,1,3
Phoenix Suns,2020,0,0.708,34.2,5.9,24.8,53.4,50.0,6,4,16,12,28
Philadelphia 76ers,2020,0,0.681,35.0,5.5,27.7,53.6,51.1,13,11,24,23,13
Brooklyn Nets,2020,0,0.667,35.5,4.2,25.2,53.2,50.3,1,1,21,7,27
Denver Nuggets,2020,0,0.653,33.9,4.8,29.2,52.5,52.2,7,6,8,14,8
LA Clippers,2020,0,0.653,34.7,6.1,27.0,53.0,51.8,3,2,25,6,20
Milwaukee Bucks,2020,1,0.639,37.8,5.8,26.9,53.3,51.9,5,5,1,5,12
Dallas Mavericks,2020,0,0.583,34.2,2.3,25.3,51.0,49.6,8,8,22,8,25
Los Angeles Lakers,2020,0,0.583,34.6,2.9,26.9,51.7,51.1,24,18,27,25,15
Portland Trail Blazers,2020,0,0.583,33.9,1.8,27.3,49.3,49.5,2,13,4,2,4
Atlanta Hawks,2020,0,0.569,35.1,2.2,28.4,51.1,51.6,9,9,23,17,5
New York Knicks,2020,0,0.569,35.5,2.4,26.4,50.2,50.5,22,23,26,21,16
Miami Heat,2020,0,0.556,33.5,-0.1,24.0,50.9,49.1,18,10,30,15,29
Golden State Warriors,2020,0,0.542,35.1,1.1,22.2,51.0,48.0,19,7,17,3,30
Memphis Grizzlies,2020,0,0.528,35.3,1.2,28.5,51.1,50.7,15,22,2,24,2
Boston Celtics,2020,0,0.5,33.6,1.2,28.9,50.1,51.0,10,16,11,11,6
Indiana Pacers,2020,0,0.472,33.7,0.1,24.7,50.2,47.6,14,14,3,18,26
Washington Wizards,2020,0,0.472,35.5,-1.6,25.0,49.6,49.4,17,19,5,28,17
Charlotte Hornets,2020,0,0.458,33.2,-1.9,27.6,48.9,49.6,23,21,20,10,7
San Antonio Spurs,2020,0,0.458,34.6,-1.5,24.3,49.3,48.5,20,26,7,30,23
Chicago Bulls,2020,0,0.431,35.3,-1.1,26.7,49.9,51.9,21,15,13,16,18
New Orleans Pelicans,2020,0,0.431,35.7,-0.3,30.2,50.8,52.7,11,17,10,27,1
Sacramento Kings,2020,0,0.431,32.0,-3.8,25.3,48.1,48.2,12,12,14,19,21
Toronto Raptors,2020,0,0.375,32.1,-0.4,25.6,48.6,47.9,16,20,12,4,22
Minnesota Timberwolves,2020,0,0.319,33.0,-5.3,27.1,46.9,48.4,25,25,6,13,9
Cleveland Cavaliers,2020,0,0.306,32.3,-8.3,28.0,46.0,49.9,28,28,28,29,10
Oklahoma City Thunder,2020,0,0.306,35.7,-10.6,25.4,44.2,49.4,30,29,19,20,14
Orlando Magic,2020,0,0.292,35.1,-9.3,25.2,45.0,48.8,29,30,9,26,11
Detroit Pistons,2020,0,0.278,33.1,-4.5,26.7,47.3,49.3,26,24,29,22,19
Houston Rockets,2020,0,0.236,33.3,-7.4,24.0,45.1,47.4,27,27,15,9,24
Phoenix Suns,2021,0,0.78,35.5,7.5,26.4,54.8,50.3,5,5,6,20,18
Memphis Grizzlies,2021,0,0.683,35.0,5.3,33.8,53.0,52.6,3,24,1,23,1
Golden State Warriors,2021,1,0.646,35.7,5.5,26.9,53.6,51.0,15,4,21,3,19
Miami Heat,2021,0,0.646,33.9,4.5,27.8,52.9,51.0,11,3,28,6,20
Dallas Mavericks,2021,0,0.634,33.8,3.5,25.6,51.1,49.6,14,13,27,10,24
Boston Celtics,2021,0,0.622,35.5,7.4,27.7,54.7,50.9,8,9,17,8,11
Milwaukee Bucks,2021,0,0.622,36.5,3.2,26.9,51.6,51.2,4,7,8,4,15
Philadelphia 76ers,2021,0,0.622,33.8,2.8,24.6,51.7,49.0,12,10,30,21,30
Utah Jazz,2021,0,0.598,35.6,6.2,30.0,52.8,52.5,1,2,24,2,9
Denver Nuggets,2021,0,0.585,34.9,2.3,26.8,51.6,51.5,6,1,23,13,25
Toronto Raptors,2021,0,0.585,32.0,2.2,32.5,49.4,50.8,16,27,4,19,2
Chicago Bulls,2021,0,0.561,33.7,-0.5,24.9,49.6,49.5,13,8,20,28,29
Minnesota Timberwolves,2021,0,0.561,32.9,2.7,28.4,50.4,49.0,7,12,5,1,6
Brooklyn Nets,2021,0,0.537,34.1,0.9,28.1,51.2,49.9,10,11,12,24,14
Cleveland Cavaliers,2021,0,0.537,34.0,2.1,27.7,51.7,50.6,20,15,29,22,16
Atlanta Hawks,2021,0,0.524,33.9,1.6,26.9,50.9,50.1,2,6,13,11,17
Charlotte Hornets,2021,0,0.524,33.7,0.5,27.0,50.4,48.6,9,14,3,5,10
LA Clippers,2021,0,0.512,34.9,0.0,25.4,50.2,48.6,25,19,18,12,26
New York Knicks,2021,0,0.451,34.6,-0.4,29.1,49.1,51.2,23,25,25,9,4
New Orleans Pelicans,2021,0,0.439,33.2,-0.8,30.6,50.0,51.8,19,22,16,29,3
Washington Wizards,2021,0,0.427,34.1,-3.4,24.7,49.6,49.4,21,16,26,30,28
San Antonio Spurs,2021,0,0.415,34.3,0.2,28.1,51.0,49.4,17,23,2,26,7
Los Angeles Lakers,2021,0,0.402,34.5,-2.9,25.6,48.2,49.0,22,17,10,18,23
Sacramento Kings,2021,0,0.366,33.4,-5.2,25.9,47.3,48.4,24,21,15,25,21
Portland Trail Blazers,2021,0,0.329,32.5,-9.1,26.8,44.7,48.7,27,26,19,14,12
Indiana Pacers,2021,0,0.305,32.6,-3.6,31.0,47.8,51.2,18,20,7,15,5
Oklahoma City Thunder,2021,0,0.293,35.2,-8.0,25.6,45.1,48.7,30,30,9,17,13
Detroit Pistons,2021,0,0.28,32.0,-7.7,27.6,45.0,48.1,28,29,11,27,8
Orlando Magic,2021,0,0.268,35.2,-8.1,24.9,45.8,49.0,29,28,14,16,27
Houston Rockets,2021,0,0.244,32.4,-8.3,26.5,45.1,48.5,26,18,22,7,22
Milwaukee Bucks,2022,0,0.707,37.5,3.4,28.4,52.3,52.1,15,15,6,4,11
Boston Celtics,2022,0,0.695,35.6,6.7,25.5,53.4,50.6,2,4,15,2,20
Philadelphia 76ers,2022,0,0.659,32.2,4.4,25.8,52.4,49.6,3,1,30,11,27
Denver Nuggets,2022,1,0.646,32.9,3.3,28.9,52.5,51.4,5,3,22,18,16
Cleveland Cavaliers,2022,0,0.622,31.4,5.6,27.3,53.1,49.6,7,9,27,19,21
Memphis Grizzlies,2022,0,0.622,34.6,4.0,30.2,51.9,50.7,11,23,4,16,4
Sacramento Kings,2022,0,0.585,32.9,2.6,26.5,51.1,49.9,1,2,16,5,23
New York Knicks,2022,0,0.573,34.0,2.8,31.8,50.9,52.1,4,20,12,12,3
Brooklyn Nets,2022,0,0.549,32.3,1.1,23.4,51.0,47.2,12,7,28,9,29
Phoenix Suns,2022,0,0.549,32.4,2.2,30.7,51.4,50.8,14,24,9,13,5
Golden State Warriors,2022,0,0.537,34.1,1.7,27.7,51.0,50.2,10,5,8,1,14
LA Clippers,2022,0,0.537,33.4,0.5,27.3,49.8,50.5,17,11,24,10,19
Miami Heat,2022,0,0.537,30.9,-0.5,27.4,49.6,49.8,25,21,26,17,22
Los Angeles Lakers,2022,0,0.524,35.7,0.7,26.9,51.1,50.5,19,16,13,24,18
Minnesota Timberwolves,2022,0,0.512,32.8,0.2,25.8,50.3,48.5,23,8,18,14,26
New Orleans Pelicans,2022,0,0.512,33.1,1.9,29.0,51.4,51.2,20,17,17,23,13
Atlanta Hawks,2022,0,0.5,33.2,0.1,28.9,50.0,50.0,8,19,3,25,9
Toronto Raptors,2022,0,0.5,30.3,1.5,31.6,49.6,50.2,13,27,5,27,2
Chicago Bulls,2022,0,0.488,33.9,1.3,23.6,51.2,49.3,24,12,21,29,28
Oklahoma City Thunder,2022,0,0.488,32.3,1.0,28.9,49.8,48.7,16,25,1,15,8
Dallas Mavericks,2022,0,0.463,31.2,-0.2,22.6,48.7,47.1,6,6,29,3,30
Utah Jazz,2022,0,0.451,34.1,-0.7,30.8,49.8,51.2,9,14,10,7,6
Indiana Pacers,2022,0,0.427,31.4,-3.3,28.5,48.2,48.2,21,18,11,6,17
Washington Wizards,2022,0,0.427,34.2,-1.2,27.3,50.4,50.5,22,13,20,21,24
Orlando Magic,2022,0,0.415,33.1,-2.3,28.1,48.5,50.5,26,22,23,26,15
Portland Trail Blazers,2022,0,0.402,31.1,-4.0,26.4,47.4,48.6,18,10,25,8,25
Charlotte Hornets,2022,0,0.329,33.5,-6.3,27.6,47.3,49.1,30,30,7,28,12
Houston Rockets,2022,0,0.268,32.9,-8.1,34.4,45.7,53.0,27,28,14,30,1
San Antonio Spurs,2022,0,0.268,31.9,-9.9,29.9,45.2,49.5,29,29,2,22,7
Detroit Pistons,2022,0,0.207,31.3,-7.9,29.2,44.9,49.1,28,26,19,20,10
